otuId	Confidence	Kingdom	Phylum	Class	Order	Family	Genus	Species
120	0	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b	A4b_unclassified	
121	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	A0839	A0839_ge	
122	0	Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	Actinomarinales_unclassified	Actinomarinales_unclassified	
123	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckiaceae_unclassified	
124	0	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	
125	0	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured_ge	
126	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	Anaerovorax	
127	0	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	
128	0	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	
129	0	Bacteria	FBP	FBP_cl	FBP_or	FBP_fa	FBP_ge	
130	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobiaceae_ge	
131	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Acetoanaerobium	
132	0	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	uncultured	uncultured_ge	
133	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	uncultured	
134	0	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellulaceae_unclassified	
135	0	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	Hydrogenedensaceae_ge	
136	0	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Chitinophagaceae_unclassified	
137	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	
138	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured	
139	0	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Blastocatellales	Blastocatellaceae	uncultured	
140	0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	SS1-B-06-26	SS1-B-06-26_ge	
141	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridiaceae_1_unclassified	
142	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12_ge	
143	0	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	Ignavibacterium	
144	0	Bacteria	Proteobacteria	Deltaproteobacteria	MBNT15	MBNT15_fa	MBNT15_ge	
145	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Proteocatella	
146	0	Bacteria	Spirochaetes	Leptospirae	Leptospirales	Leptospiraceae	Turneriella	
147	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	AKYG1722	AKYG1722_ge	
148	0	Bacteria	Chloroflexi	Anaerolineae	1-20	1-20_fa	1-20_ge	
149	0	Bacteria	Armatimonadetes	Fimbriimonadia	Fimbriimonadales	Fimbriimonadaceae	Fimbriimonadaceae_ge	
150	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17_ge	
151	0	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	67-14_ge	
152	0	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Steroidobacteraceae	uncultured	
153	0	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	uncultured_ge	
154	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae	uncultured	
155	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Pajaroellobacter	
156	0	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	Singulisphaera	
157	0	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	uncultured	
158	0	Bacteria	Bacteroidetes	Ignavibacteria	Ignavibacteria_unclassified	Ignavibacteria_unclassified	Ignavibacteria_unclassified	
159	0	Bacteria	Acidobacteria	Subgroup_6	Subgroup_6_or	Subgroup_6_fa	Subgroup_6_ge	
